coexist,elev,catcharea,lakearea,maxdepth,temp
0,-0.505627288,-0.289940917,-0.188249471,-0.370754875,1.123478638
0,-0.523583478,-0.290585672,-0.189152235,-0.306249764,1.123478638
0,-0.267707769,-0.288217956,-0.183715517,-0.502990353,1.219540515
0,-0.954532042,-0.292048563,-0.188231781,-0.273997208,1.471702941
0,-0.326065387,-0.285265083,-0.180861439,-0.39655692,0.663182145
0,-0.510116336,-0.291327954,-0.188999741,-0.209492097,1.123478638
0,-0.967999184,-0.289193217,-0.188050008,-0.564270209,0.731225975
0,-0.712123475,-0.29102454,-0.188478822,0.048528349,1.123478638
0,0.051014606,-0.29188602,-0.186706231,-0.048229318,0.078805728
0,-0.3934011,-0.291284609,-0.188876526,-0.564270209,0.779256913
0,-0.595408239,-0.293191786,-0.189345598,-0.693280432,0.094816041
0,-0.10161301,-0.290466474,-0.188285459,-0.338502319,0.190877918
0,-0.694167285,-0.293132186,-0.189352308,-0.693280432,-0.133330916
0,-0.168948723,-0.281185243,-0.184437119,-0.532017654,0.010761899
0,-0.379933957,-0.270945005,-0.188310468,-0.435259986,0.098818619
0,-1.102670611,-0.285931511,-0.186541537,-0.419133709,1.047429652
0,-0.905152519,-0.277327545,-0.187063067,-0.509440865,1.123478638
0,-0.990444422,-0.286126564,-0.180868758,-0.209492097,0.731225975
0,-0.797415378,-0.284457784,-0.182589501,0.403306461,0.731225975
0,-0.631320619,-0.282534353,-0.187049647,-0.312700275,0.082808307
0,-0.06570063,-0.275485386,-0.183433098,-0.544918676,0.427030032
0,-0.424824432,-0.287394402,-0.18544358,-0.403007431,0.358986202
0,-0.281174911,-0.292877535,-0.188442223,-0.499765098,-0.133330916
0,0.001635084,-0.290428547,-0.188340967,-0.403007431,0.427030032
0,-0.312598244,-0.293148441,-0.189160165,-0.564270209,-0.133330916
0,-0.550517764,-0.28972961,-0.188737452,-0.499765098,0.094816041
0,-0.460736813,-0.280220818,-0.171231134,0.629074351,0.358986202
0,-0.492160146,-0.290363529,-0.182820682,-0.241744652,1.123478638
0,-0.537050621,-0.272169499,-0.188326328,-0.241744652,0.731225975
0,-1.259787274,-0.283309144,-0.183552654,-0.11273443,0.427030032
0,-0.276685864,-0.275089863,-0.186968521,-0.435259986,0.098818619
0,0.167729842,-0.291122066,-0.189130886,-0.661027876,-0.133330916
0,-0.312598244,-0.264194034,-0.172005194,-0.51266612,0.611148629
0,-0.442780623,-0.288185447,-0.187395504,-0.532017654,0.098818619
0,0.459517932,-0.286397469,-0.188799669,-0.457836775,-0.165351542
0,-0.061211582,-0.29220027,-0.188363536,-0.303024508,0.427030032
0,-0.222817293,-0.245485283,-0.183491656,-0.609423787,0.427030032
0,-0.680700142,-0.292937134,-0.189237632,-0.306249764,1.047429652
0,-0.613364429,-0.289865063,-0.188558119,-0.499765098,-0.153343807
0,-0.1195692,-0.292498267,-0.188860057,-0.515891376,0.427030032
0,-0.963510137,-0.288711004,-0.182637689,-0.209492097,1.047429652
0,-0.864751091,-0.292362814,-0.18672453,0.145286016,1.047429652
0,-0.474203955,-0.292330305,-0.189143696,-0.564270209,-0.153343807
0,-0.824349663,-0.29133879,-0.189390126,-0.757785543,0.731225975
0,-0.438291575,-0.262113478,-0.187529699,-0.148212241,0.731225975
0,-0.604386334,-0.291696386,-0.185713799,0.119483971,1.359630752
0,-0.177926818,-0.266453388,-0.188920444,-0.596522765,0.427030032
0,-0.537050621,-0.291046212,-0.185272177,0.067879882,0.334970733
0,-0.263218721,-0.29246034,-0.188484921,-0.564270209,-0.133330916
0,-0.438291575,-0.292888371,-0.189206523,-0.661027876,-0.153343807
0,-0.281174911,-0.29217318,-0.188163464,-0.177239541,0.663182145
0,0.966780304,-0.26486588,-0.188414164,-0.467512542,-0.821774366
